target,target_label,target_prefix,subject_count,subject,subject_label
MESH:D002277,Carcinoma,MESH,2,DOID:305,carcinoma
MESH:D002277,Carcinoma,MESH,2,DOID:4015,sarcomatoid carcinoma
MESH:D002357,Cartilage Diseases,MESH,2,DOID:1222,cartilage disease
MESH:D002357,Cartilage Diseases,MESH,2,DOID:2557,chondromalacia
MESH:D002430,Cecal Neoplasms,MESH,2,DOID:1517,cecal benign neoplasm
MESH:D002430,Cecal Neoplasms,MESH,2,DOID:1521,cecum cancer
MESH:D002537,Intracranial Arteriosclerosis,MESH,2,DOID:12720,cerebral atherosclerosis
MESH:D002537,Intracranial Arteriosclerosis,MESH,2,DOID:13097,intracranial arteriosclerosis
MESH:D002549,Diffuse Cerebral Sclerosis of Schilder,MESH,2,DOID:0060215,Balo concentric sclerosis
MESH:D002549,Diffuse Cerebral Sclerosis of Schilder,MESH,2,DOID:0080122,Alpers-Huttenlocher syndrome
MESH:D003123,"Colorectal Neoplasms, Hereditary Nonpolyposis",MESH,2,DOID:0070271,Lynch syndrome 1
MESH:D003123,"Colorectal Neoplasms, Hereditary Nonpolyposis",MESH,2,DOID:3883,Lynch syndrome
MESH:D003389,Cranial Nerve Diseases,MESH,2,DOID:3817,cranial nerve palsy
MESH:D003389,Cranial Nerve Diseases,MESH,2,DOID:5656,cranial nerve disease
MESH:D003424,Crohn Disease,MESH,2,DOID:0060192,Crohn's colitis
MESH:D003424,Crohn Disease,MESH,2,DOID:8778,Crohn's disease
MESH:D003528,"Carcinoma, Adenoid Cystic",MESH,2,DOID:0080202,adenoid cystic carcinoma
MESH:D003528,"Carcinoma, Adenoid Cystic",MESH,2,DOID:4866,salivary gland adenoid cystic carcinoma
MESH:D003557,Phyllodes Tumor,MESH,2,DOID:1631,benign breast phyllodes tumor
MESH:D003557,Phyllodes Tumor,MESH,2,DOID:3016,breast malignant phyllodes tumor
MESH:D003607,Dacryocystitis,MESH,2,DOID:950,dacryoadenitis
MESH:D003607,Dacryocystitis,MESH,2,DOID:9938,dacryocystitis
MESH:D003866,Depressive Disorder,MESH,2,DOID:1595,melancholic depression
MESH:D003866,Depressive Disorder,MESH,2,DOID:4964,neurotic disorder
MESH:D003882,Dermatomyositis,MESH,2,DOID:10223,dermatomyositis
MESH:D003882,Dermatomyositis,MESH,2,DOID:14203,childhood type dermatomyositis
MESH:D003969,Vipoma,MESH,2,DOID:5574,VIPoma
MESH:D003969,Vipoma,MESH,2,DOID:6977,pancreatic cholera
MESH:D004062,DiGeorge Syndrome,MESH,2,DOID:11198,DiGeorge syndrome
MESH:D004062,DiGeorge Syndrome,MESH,2,DOID:12583,velocardiofacial syndrome
MESH:D004066,Digestive System Diseases,MESH,2,DOID:3118,hepatobiliary disease
MESH:D004066,Digestive System Diseases,MESH,2,DOID:77,gastrointestinal system disease
MESH:D004379,Duodenal Neoplasms,MESH,2,DOID:10021,duodenum cancer
MESH:D004379,Duodenal Neoplasms,MESH,2,DOID:1737,duodenal benign neoplasm
MESH:D004403,Dysentery,MESH,2,DOID:12384,dysentery
MESH:D004403,Dysentery,MESH,2,DOID:13250,diarrhea
MESH:D004410,Dyslexia,MESH,2,DOID:13417,alexia
MESH:D004410,Dyslexia,MESH,2,DOID:4428,dyslexia
MESH:D004428,Ear Neoplasms,MESH,2,DOID:5101,ear cancer
MESH:D004428,Ear Neoplasms,MESH,2,DOID:833,auditory system cancer
MESH:D004476,Ectodermal Dysplasia,MESH,2,DOID:14693,Clouston syndrome
MESH:D004476,Ectodermal Dysplasia,MESH,2,DOID:2121,ectodermal dysplasia
MESH:D004604,Elephantiasis,MESH,2,DOID:0050138,podoconiosis
MESH:D004604,Elephantiasis,MESH,2,DOID:4976,elephantiasis
MESH:D004671,"Encephalitis, Arbovirus",MESH,2,DOID:10842,Murray Valley encephalitis
MESH:D004671,"Encephalitis, Arbovirus",MESH,2,DOID:646,viral encephalitis
MESH:D004673,"Encephalomyelitis, Acute Disseminated",MESH,2,DOID:13664,post-vaccinal encephalitis
MESH:D004673,"Encephalomyelitis, Acute Disseminated",MESH,2,DOID:639,acute disseminated encephalomyelitis
MESH:D004684,"Leukoencephalitis, Acute Hemorrhagic",MESH,2,DOID:10992,acute hemorrhagic leukoencephalitis
MESH:D004684,"Leukoencephalitis, Acute Hemorrhagic",MESH,2,DOID:5222,acute necrotizing encephalitis
MESH:D004832,"Epilepsy, Absence",MESH,2,DOID:0070309,absence epilepsy
MESH:D004832,"Epilepsy, Absence",MESH,2,DOID:1825,childhood absence epilepsy
MESH:D004931,Esophageal Achalasia,MESH,2,DOID:13186,megaesophagus
MESH:D004931,Esophageal Achalasia,MESH,2,DOID:9164,achalasia
MESH:D004948,Esotropia,MESH,2,DOID:10293,monocular esotropia
MESH:D004948,Esotropia,MESH,2,DOID:9840,esotropia
MESH:D005128,Eye Diseases,MESH,2,DOID:0070356,visual impairment and progressive phthisis bulbi
MESH:D005128,Eye Diseases,MESH,2,DOID:5614,eye disease
MESH:D005155,Facial Nerve Diseases,MESH,2,DOID:14075,geniculate ganglionitis
MESH:D005155,Facial Nerve Diseases,MESH,2,DOID:1756,facial nerve disease
MESH:D005185,Fallopian Tube Neoplasms,MESH,2,DOID:1963,fallopian tube carcinoma
MESH:D005185,Fallopian Tube Neoplasms,MESH,2,DOID:1964,fallopian tube cancer
MESH:D005198,Fanconi Syndrome,MESH,2,DOID:0070562,Fanconi-Bickel syndrome
MESH:D005198,Fanconi Syndrome,MESH,2,DOID:1062,Fanconi syndrome
MESH:D005203,Farmer's Lung,MESH,2,DOID:14453,farmer's lung
MESH:D005203,Farmer's Lung,MESH,2,DOID:2708,mushroom workers' lung
MESH:D005348,Fibrocystic Breast Disease,MESH,2,DOID:10354,breast fibrocystic disease
MESH:D005348,Fibrocystic Breast Disease,MESH,2,DOID:5998,microglandular adenosis
MESH:D005729,Ganglioneuroma,MESH,2,DOID:2426,gangliocytoma
MESH:D005729,Ganglioneuroma,MESH,2,DOID:4817,ganglioneuroma
MESH:D005882,Gingival Diseases,MESH,2,DOID:1483,gingival disease
