compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
Disease.txt,orphanet:137608,Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome,biolink:Disease,1,MONDO:0016063,Cowden disease,regrouped,Disease.txt,biolink:Disease,30,1,"orphanet:137608 ""Segmental outgrowth-lipomatosis-arteriovenous malformation-epidermal nevus syndrome"""
Disease.txt,orphanet:137902,Isolated optic nerve hypoplasia/aplasia,biolink:Disease,1,MONDO:0008136,isolated optic nerve hypoplasia,regrouped,Disease.txt,biolink:Disease,22,1,"orphanet:137902 ""Isolated optic nerve hypoplasia/aplasia"""
Disease.txt,orphanet:139491,Hemochromatosis type 4,biolink:Disease,1,MONDO:0011631,hemochromatosis type 4,regrouped,Disease.txt,biolink:Disease,12,1,"orphanet:139491 ""Hemochromatosis type 4"""
Disease.txt,orphanet:139498,NON RARE IN EUROPE: Hemochromatosis type 1,biolink:Disease,1,MONDO:0006507,hereditary hemochromatosis,regrouped,Disease.txt,biolink:Disease,18,1,"orphanet:139498 ""NON RARE IN EUROPE: Hemochromatosis type 1"""
Disease.txt,orphanet:144,Lynch syndrome,biolink:Disease,1,DOID:0070271,Lynch syndrome 1,regrouped,Disease.txt,biolink:Disease,16,1,"orphanet:144 ""Lynch syndrome"""
Disease.txt,orphanet:1480,NON RARE IN EUROPE: Ventricular septal defect,biolink:Disease,1,MONDO:0002070,ventricular septal defect,regrouped,Disease.txt,biolink:Disease,22,1,"orphanet:1480 ""NON RARE IN EUROPE: Ventricular septal defect"""
Disease.txt,orphanet:156071,OBSOLETE: Keratoconus,biolink:Disease,1,MONDO:0015486,keratoconus,regrouped,Disease.txt,biolink:Disease,15,1,"orphanet:156071 ""OBSOLETE: Keratoconus"""
Disease.txt,orphanet:1569,De Sanctis-Cacchione syndrome,biolink:Disease,1,MONDO:0010217,de Sanctis-Cacchione syndrome,regrouped,Disease.txt,biolink:Disease,10,1,"orphanet:1569 ""De Sanctis-Cacchione syndrome"""
Disease.txt,orphanet:1572,Common variable immunodeficiency,biolink:Disease,1,MONDO:0015517,common variable immunodeficiency,regrouped,Disease.txt,biolink:Disease,18,1,"orphanet:1572 ""Common variable immunodeficiency"""
Disease.txt,orphanet:157794,Hereditary mixed polyposis syndrome,biolink:Disease,1,DOID:0111684,hereditary mixed polyposis syndrome,regrouped,Disease.txt,biolink:Disease,2,1,"orphanet:157794 ""Hereditary mixed polyposis syndrome"""
Disease.txt,orphanet:163634,Maffucci syndrome,biolink:Disease,1,MONDO:0008145,Ollier disease,regrouped,Disease.txt,biolink:Disease,21,1,"orphanet:163634 ""Maffucci syndrome"""
Disease.txt,orphanet:163953,"X-linked intellectual disability, Raymond type",biolink:Disease,1,MONDO:0010427,syndromic X-linked intellectual disability Raymond type,regrouped,Disease.txt,biolink:Disease,6,1,"orphanet:163953 ""X-linked intellectual disability, Raymond type"""
Disease.txt,orphanet:165994,Pituitary resistance to thyroid hormone,biolink:Disease,1,MONDO:0007784,selective pituitary resistance to thyroid hormone,regrouped,Disease.txt,biolink:Disease,8,1,"orphanet:165994 ""Pituitary resistance to thyroid hormone"""
Disease.txt,orphanet:166011,"Multiple epiphyseal dysplasia, Beighton type",biolink:Disease,1,MONDO:0007562,"multiple epiphyseal dysplasia, Beighton type",regrouped,Disease.txt,biolink:Disease,9,1,"orphanet:166011 ""Multiple epiphyseal dysplasia, Beighton type"""
Disease.txt,orphanet:166068,Pontocerebellar hypoplasia type 5,biolink:Disease,1,MONDO:0012438,pontocerebellar hypoplasia type 5,regrouped,Disease.txt,biolink:Disease,8,1,"orphanet:166068 ""Pontocerebellar hypoplasia type 5"""
Disease.txt,orphanet:168972,Kahrizi syndrome,biolink:Disease,1,MONDO:0012991,Kahrizi syndrome,regrouped,Disease.txt,biolink:Disease,7,1,"orphanet:168972 ""Kahrizi syndrome"""
Disease.txt,orphanet:1775,Dyskeratosis congenita,biolink:Disease,1,DOID:2729,dyskeratosis congenita,regrouped,Disease.txt,biolink:Disease,8,1,"orphanet:1775 ""Dyskeratosis congenita"""
Disease.txt,orphanet:184,Cherubism,biolink:Disease,1,DOID:0070648,cherubism,regrouped,Disease.txt,biolink:Disease,10,1,"orphanet:184 ""Cherubism"""
Disease.txt,orphanet:194,OBSOLETE: Ocular coloboma,biolink:Disease,1,MONDO:0001476,coloboma,regrouped,Disease.txt,biolink:Disease,13,1,"orphanet:194 ""OBSOLETE: Ocular coloboma"""
Disease.txt,orphanet:210566,Myoclonic dystonia 15,biolink:Disease,1,MONDO:0011844,myoclonic dystonia 15,regrouped,Disease.txt,biolink:Disease,7,1,"orphanet:210566 ""Myoclonic dystonia 15"""
Disease.txt,orphanet:213517,Familial ovarian cancer,biolink:Disease,1,MONDO:0008170,ovarian cancer,regrouped,Disease.txt,biolink:Disease,21,1,"orphanet:213517 ""Familial ovarian cancer"""
Disease.txt,orphanet:217034,Male infertility with normal virilization due to meiosis defect,biolink:Disease,1,MONDO:0100459,azoospermia,regrouped,Disease.txt,biolink:Disease,14,1,"orphanet:217034 ""Male infertility with normal virilization due to meiosis defect"""
Disease.txt,orphanet:217074,Rare carcinoma of pancreas,biolink:Disease,1,MONDO:0009831,malignant pancreatic neoplasm,regrouped,Disease.txt,biolink:Disease,49,1,"orphanet:217074 ""Rare carcinoma of pancreas"""
Disease.txt,orphanet:2227,NON RARE IN EUROPE: Hypodontia,biolink:Disease,1,MONDO:0005486,tooth agenesis,regrouped,Disease.txt,biolink:Disease,13,1,"orphanet:2227 ""NON RARE IN EUROPE: Hypodontia"""
Disease.txt,orphanet:228340,CLN4A disease,biolink:Disease,1,MONDO:0008768,"ceroid lipofuscinosis, neuronal, 6B (Kufs type)",regrouped,Disease.txt,biolink:Disease,7,1,"orphanet:228340 ""CLN4A disease"""
Disease.txt,orphanet:228357,CLN9 disease,biolink:Disease,1,MONDO:0012188,neuronal ceroid lipofuscinosis 9,regrouped,Disease.txt,biolink:Disease,7,1,"orphanet:228357 ""CLN9 disease"""
Disease.txt,orphanet:231108,Familial rhabdoid tumor,biolink:Disease,1,DOID:0070617,rhabdoid tumor predisposition syndrome,regrouped,Disease.txt,biolink:Disease,6,1,"orphanet:231108 ""Familial rhabdoid tumor"""
