compendium,before_leader,before_leader_label,before_leader_type,before_size,destination,destination_label,destination_kind,destination_compendium,destination_type,after_size,member_count,example_members
Disease.txt,OMIM:610071,,biolink:Disease,3,MONDO:0001741,hyperparathyroidism,regrouped,Disease.txt,biolink:Disease,27,3,"MESH:C566450 ""Hyperparathyroidism 3""; OMIM:610071 """"; UMLS:C1864729 ""HYPERPARATHYROIDISM 3"""
Disease.txt,OMIM:611276,,biolink:Disease,3,MONDO:0005338,open-angle glaucoma,regrouped,Disease.txt,biolink:Disease,40,3,"MESH:C566976 ""Glaucoma 1, Open Angle, H""; OMIM:611276 """"; UMLS:C1969811 ""Glaucoma 1, Open Angle, H"""
Disease.txt,OMIM:613244,,biolink:Disease,3,DOID:0070270,hereditary nonpolyposis colorectal cancer type 8,regrouped,Disease.txt,biolink:Disease,4,3,"MESH:C567685 ""Colorectal Cancer, Hereditary Nonpolyposis, Type 8""; OMIM:613244 """"; UMLS:C2750471 ""COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 8"""
Disease.txt,OMIM:613987,,biolink:Disease,3,DOID:0070017,autosomal recessive dyskeratosis congenita 2,regrouped,Disease.txt,biolink:Disease,4,3,"NCIT:C176926 ""Dyskeratosis Congenita, Autosomal Recessive 2""; OMIM:613987 """"; UMLS:C3151441 ""DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 2"""
Disease.txt,OMIM:613988,,biolink:Disease,3,DOID:0070019,autosomal recessive dyskeratosis congenita 3,regrouped,Disease.txt,biolink:Disease,4,3,"NCIT:C176927 ""Dyskeratosis Congenita, Autosomal Recessive 3""; OMIM:613988 """"; UMLS:C3151442 ""Dyskeratosis Congenita, Autosomal Recessive 3"""
Disease.txt,OMIM:613990,,biolink:Disease,3,DOID:0070018,autosomal dominant dyskeratosis congenita 3,regrouped,Disease.txt,biolink:Disease,4,3,"NCIT:C176923 ""Dyskeratosis Congenita, Autosomal Dominant 3""; OMIM:613990 """"; UMLS:C3151445 ""Dyskeratosis Congenita, Autosomal Dominant 3"""
Disease.txt,OMIM:614114,,biolink:Disease,3,DOID:0080142,mosaic variegated aneuploidy syndrome 2,regrouped,Disease.txt,biolink:Disease,4,3,"NCIT:C168989 ""Mosaic Variegated Aneuploidy Syndrome 2""; OMIM:614114 """"; UMLS:C3279843 ""Mosaic Variegated Aneuploidy Syndrome 2"""
Disease.txt,OMIM:614331,,biolink:Disease,3,DOID:0070273,hereditary nonpolyposis colorectal cancer type 6,regrouped,Disease.txt,biolink:Disease,4,3,"MESH:C566039 ""Colorectal Cancer, Hereditary Nonpolyposis, Type 6""; OMIM:614331 """"; UMLS:C1860896 ""COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 6"""
Disease.txt,OMIM:614337,,biolink:Disease,3,DOID:0070275,hereditary nonpolyposis colorectal cancer type 4,regrouped,Disease.txt,biolink:Disease,4,3,"MESH:C563971 ""Colorectal Cancer, Hereditary Nonpolyposis, Type 4""; OMIM:614337 """"; UMLS:C1838333 ""COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 4"""
Disease.txt,OMIM:614350,,biolink:Disease,3,DOID:0070272,hereditary nonpolyposis colorectal cancer type 5,regrouped,Disease.txt,biolink:Disease,4,3,"MESH:C563456 ""Colorectal Cancer, Hereditary Nonpolyposis, Type 5""; OMIM:614350 """"; UMLS:C1833477 ""COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 5"""
Disease.txt,OMIM:614385,,biolink:Disease,3,DOID:0070276,hereditary nonpolyposis colorectal cancer type 7,regrouped,Disease.txt,biolink:Disease,4,3,"MESH:C565777 ""Colorectal Cancer, Hereditary Nonpolyposis, Type 7""; OMIM:614385 """"; UMLS:C1858380 ""Colorectal Cancer, Hereditary Nonpolyposis, Type 7"""
Disease.txt,OMIM:616200,,biolink:Disease,3,DOID:0111264,Ruijs-Aalfs syndrome,regrouped,Disease.txt,biolink:Disease,5,3,"OMIM:616200 """"; SNOMEDCT:1216939003 """"; UMLS:C4015461 ""Progeroid features, hepatocellular carcinoma predisposition syndrome"""
Disease.txt,OMIM:616353,,biolink:Disease,3,DOID:0070024,autosomal recessive dyskeratosis congenita 6,regrouped,Disease.txt,biolink:Disease,4,3,"NCIT:C176929 ""Dyskeratosis Congenita, Autosomal Recessive 6""; OMIM:616353 """"; UMLS:C4225356 ""DYSKERATOSIS CONGENITA, AUTOSOMAL RECESSIVE 6"""
Disease.txt,OMIM:616903,,biolink:Disease,3,DOID:0060996,poor metabolism of thiopurines 2,regrouped,Disease.txt,biolink:Disease,4,3,"OMIM:616903 """"; SNOMEDCT:781386002 """"; UMLS:C4225160 ""NUDT15 deficiency"""
Disease.txt,UMLS:C0684256,Bacterial sepsis,biolink:Disease,3,MONDO:0005229,bacterial infectious disease with sepsis,regrouped,Disease.txt,biolink:Disease,11,3,"MEDDRA:10053840 """"; SNOMEDCT:10001005 """"; UMLS:C0684256 ""Bacterial sepsis"""
Disease.txt,UMLS:C1333990,Hereditary Nonpolyposis Colorectal Cancer,biolink:Disease,3,DOID:0070271,Lynch syndrome 1,regrouped,Disease.txt,biolink:Disease,16,3,"NCIT:C120083 ""Hereditary Nonpolyposis Colorectal Cancer Syndrome""; SNOMEDCT:315058005 """"; UMLS:C1333990 ""Hereditary Nonpolyposis Colorectal Cancer"""
Disease.txt,UMLS:C1370913,Borderline phyllodes tumor,biolink:Disease,3,MONDO:0015871,benign breast phyllodes tumor,regrouped,Disease.txt,biolink:Disease,13,3,"NCIT:C7503 ""Borderline Phyllodes Tumor""; SNOMEDCT:71232009 """"; UMLS:C1370913 ""Borderline phyllodes tumor"""
Disease.txt,UMLS:C6022405,Kummell disease,biolink:Disease,3,MONDO:0003940,Kummell disease,regrouped,Disease.txt,biolink:Disease,12,3,"MEDDRA:10092346 """"; SNOMEDCT:240218006 """"; UMLS:C6022405 ""Kummell disease"""
Disease.txt,DOID:0080108,myoglobinuria,biolink:Disease,2,MONDO:0008046,autosomal dominant myoglobinuria,regrouped,Disease.txt,biolink:Disease,9,2,"DOID:0080108 ""myoglobinuria""; MESH:D009212 ""Myoglobinuria"""
