semantic_type,clique_preferred_id,clique_preferred_label,clique_biolink_type,change_kind,added_kind,added_id,added_id_label,added_id_biolink_type,equivalent_ids
anatomy,UBERON:0002498,deltopectoral crest,biolink:AnatomicalEntity,expanded,promoted,EMAPA:25052,humerus deltoid tuberosity,biolink:AnatomicalEntity,UBERON:0002498|EMAPA:25052|AAO:0000736|MA:0002808|Wikipedia:Deltoid_tuberosity
anatomy,UBERON:0002499,cochlear labyrinth,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:36569,cochlear labyrinth,biolink:AnatomicalEntity,UBERON:0002499|UMLS:C0931689|NCIT:C32336|EMAPA:36569|FMA:61259|MA:0002809|SNOMEDCT:427319007|Wikipedia:Cochlear_labyrinth
anatomy,UBERON:0002500,zygomatic arch,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:36570,zygomatic arch,biolink:AnatomicalEntity,UBERON:0002500|UMLS:C0162485|NCIT:C33897|EMAPA:36570|FMA:53120|MA:0002810|MFMO:0000108|SCTID:272682006|SNOMEDCT:51204001|Wikipedia:Zygomatic_arch|galen:Zygoma
anatomy,UBERON:0002501,oval window,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:19240,fenestra vestibuli,biolink:AnatomicalEntity,UBERON:0002501|UMLS:C1517155|UMLS:C1956188|MESH:D010046|NCIT:C32593|EMAPA:19240|GAID:882|MA:0002813|SCTID:362561009|Wikipedia:Oval_window
anatomy,UBERON:0002502,round window of inner ear,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:19239,fenestra cochleae,biolink:AnatomicalEntity,UBERON:0002502|UMLS:C0035878|UMLS:C1517156|MESH:D012405|NCIT:C32594|EMAPA:19239|FMA:56932|GAID:878|MA:0002814|SCTID:279785002|SNOMEDCT:28784008|Wikipedia:Round_window
anatomy,UBERON:0002503,greater trochanter,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:37594,greater trochanter,biolink:AnatomicalEntity,UBERON:0002503|UMLS:C0223865|NCIT:C32698|EMAPA:37594|FMA:32852|MA:0002822|SCTID:182050001|SNOMEDCT:30547004|Wikipedia:Greater_trochanter|galen:GreaterTrochanter
anatomy,UBERON:0002504,lesser trochanter,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:37595,lesser trochanter,biolink:AnatomicalEntity,UBERON:0002504|UMLS:C0223866|NCIT:C32982|EMAPA:37595|FMA:32853|MA:0002823|SCTID:182051002|SNOMEDCT:55499008|Wikipedia:Lesser_trochanter|galen:LesserTrochanter
anatomy,UBERON:0002506,iris epithelium,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:35447,iris epithelium,biolink:AnatomicalEntity,UBERON:0002506|EMAPA:35447|MA:0002826
anatomy,UBERON:0002507,abdominal lymph node,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:35992,abdominal lymph node,biolink:AnatomicalEntity,UBERON:0002507|EMAPA:35992|MA:0002827|SCTID:245342005
anatomy,UBERON:0002509,mesenteric lymph node,biolink:GrossAnatomicalStructure,expanded,promoted,EMAPA:35561,mesenteric lymph node,biolink:AnatomicalEntity,UBERON:0002509|UMLS:C0229792|NCIT:C77641|EMAPA:35561|FMA:12795|MA:0002829|SNOMEDCT:279795009|Wikipedia:Mesenteric_lymph_nodes
