semantic_type,preferred_id,preferred_label,biolink_type,member_count,equivalent_ids
anatomy,EMAPA:16607,somite 22 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16607
anatomy,EMAPA:16608,somite 23,biolink:AnatomicalEntity,1,EMAPA:16608
anatomy,EMAPA:16609,somite 23 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16609
anatomy,EMAPA:16610,somite 23 myocoele,biolink:AnatomicalEntity,1,EMAPA:16610
anatomy,EMAPA:16611,somite 23 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16611
anatomy,EMAPA:16612,somite 24,biolink:AnatomicalEntity,1,EMAPA:16612
anatomy,EMAPA:16613,somite 24 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16613
anatomy,EMAPA:16614,somite 24 myocoele,biolink:AnatomicalEntity,1,EMAPA:16614
anatomy,EMAPA:16615,somite 24 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16615
anatomy,EMAPA:16616,somite 25,biolink:AnatomicalEntity,1,EMAPA:16616
anatomy,EMAPA:16617,somite 25 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16617
anatomy,EMAPA:16618,somite 25 myocoele,biolink:AnatomicalEntity,1,EMAPA:16618
anatomy,EMAPA:16619,somite 25 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16619
anatomy,EMAPA:16620,somite 26,biolink:AnatomicalEntity,1,EMAPA:16620
anatomy,EMAPA:16621,somite 26 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16621
anatomy,EMAPA:16622,somite 26 myocoele,biolink:AnatomicalEntity,1,EMAPA:16622
anatomy,EMAPA:16623,somite 26 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16623
anatomy,EMAPA:16624,somite 27,biolink:AnatomicalEntity,1,EMAPA:16624
anatomy,EMAPA:16625,somite 27 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16625
anatomy,EMAPA:16626,somite 27 myocoele,biolink:AnatomicalEntity,1,EMAPA:16626
anatomy,EMAPA:16627,somite 27 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16627
anatomy,EMAPA:16628,somite 28,biolink:AnatomicalEntity,1,EMAPA:16628
anatomy,EMAPA:16629,somite 28 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16629
anatomy,EMAPA:16630,somite 28 myocoele,biolink:AnatomicalEntity,1,EMAPA:16630
anatomy,EMAPA:16631,somite 28 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16631
anatomy,EMAPA:16632,somite 29,biolink:AnatomicalEntity,1,EMAPA:16632
anatomy,EMAPA:16633,somite 29 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16633
anatomy,EMAPA:16634,somite 29 myocoele,biolink:AnatomicalEntity,1,EMAPA:16634
anatomy,EMAPA:16635,somite 29 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16635
anatomy,EMAPA:16636,somite 30,biolink:AnatomicalEntity,1,EMAPA:16636
anatomy,EMAPA:16637,somite 30 dermomyotome,biolink:AnatomicalEntity,1,EMAPA:16637
anatomy,EMAPA:16638,somite 30 myocoele,biolink:AnatomicalEntity,1,EMAPA:16638
anatomy,EMAPA:16639,somite 30 sclerotome,biolink:AnatomicalEntity,1,EMAPA:16639
anatomy,EMAPA:16664,vagus preganglion,biolink:AnatomicalEntity,1,EMAPA:16664
anatomy,EMAPA:16666,spinal component of peripheral nervous system,biolink:AnatomicalEntity,1,EMAPA:16666
anatomy,EMAPA:16667,spinal ganglion,biolink:AnatomicalEntity,1,EMAPA:16667
anatomy,EMAPA:16668,dorsal root ganglion,biolink:AnatomicalEntity,1,EMAPA:16668
anatomy,EMAPA:16671,otocyst epithelium,biolink:AnatomicalEntity,1,EMAPA:16671
anatomy,EMAPA:16682,fronto-nasal process ectoderm,biolink:AnatomicalEntity,1,EMAPA:16682
anatomy,EMAPA:16686,2nd arch artery,biolink:AnatomicalEntity,1,EMAPA:16686
anatomy,EMAPA:16691,common atrial chamber endocardial lining,biolink:AnatomicalEntity,1,EMAPA:16691
anatomy,EMAPA:16694,bulbus cordis caudal half endocardial lining,biolink:AnatomicalEntity,1,EMAPA:16694
anatomy,EMAPA:16695,bulbus cordis rostral half endocardial lining,biolink:AnatomicalEntity,1,EMAPA:16695
