dropped_curie,dropped_label,dropped_from_clique_leader,clique_leader_label
MEDDRA:10017807,,MONDO:0007652,gastric mucosal hypertrophy
MEDDRA:10017868,,MONDO:0007652,gastric mucosal hypertrophy
MEDDRA:10072075,,MONDO:0007656,Gerstmann-Straussler-Scheinker syndrome
MEDDRA:10068636,,MONDO:0007693,hypertrichosis cubiti-short stature syndrome
MEDDRA:10072361,,MONDO:0007698,hand-foot-genital syndrome
MEDDRA:10002058,,MONDO:0007705,Heinz body anemia
MEDDRA:10058423,,MONDO:0007708,Kasabach-Merritt syndrome
MEDDRA:10050469,,MONDO:0007732,Holt-Oram syndrome
MEDDRA:10070668,,MONDO:0007739,Huntington disease
MEDDRA:10063383,,MONDO:0007740,Wagner disease
MEDDRA:10050975,,MONDO:0007741,congenital hydronephrosis
MEDDRA:10071311,,MONDO:0007756,hyperkeratosis lenticularis perstans
MEDDRA:10060755,,MONDO:0007762,hyperlipoproteinemia type V
MEDDRA:10020967,,MONDO:0007793,hypochondroplasia
MEDDRA:10064060,,MONDO:0007803,multiple system atrophy
MEDDRA:10066407,,MONDO:0007827,inclusion body myositis
MEDDRA:10053712,,MONDO:0007863,Kleine-Levin syndrome
MEDDRA:10051452,,MONDO:0007864,angioosteohypertrophic syndrome
MEDDRA:10050638,,MONDO:0007874,trichorhinophalangeal syndrome type II
MEDDRA:10060786,,MONDO:0007878,congenital laryngomalacia
MEDDRA:10034735,,MONDO:0007885,Legg-Calve-Perthes disease
MEDDRA:10062901,,MONDO:0007893,Noonan syndrome with multiple lentigines
MEDDRA:10000871,,MONDO:0007896,acute monocytic leukemia
MEDDRA:10048244,,MONDO:0007921,yellow nail syndrome
MEDDRA:10064583,,MONDO:0007946,jaw-winking syndrome
MEDDRA:10026829,,MONDO:0007947,Marfan syndrome
MEDDRA:10026891,,MONDO:0007950,mastocytosis
MEDDRA:10027107,,MONDO:0007959,medulloblastoma
MEDDRA:10027166,,MONDO:0007969,Melkersson-Rosenthal syndrome
MEDDRA:10030069,,MONDO:0008006,Mobius syndrome
MEDDRA:10044019,,MONDO:0008007,tooth ankylosis
MEDDRA:10044696,,MONDO:0008039,tropical spastic paraparesis
MEDDRA:10008521,,MONDO:0008054,juvenile dermatomyositis
MEDDRA:10063431,,MONDO:0008061,nail-patella syndrome
MEDDRA:10069382,,MONDO:0008087,hereditary neuropathy with liability to pressure palsies
MEDDRA:10053176,,MONDO:0008090,cyclic hematopoiesis
MEDDRA:10067193,,MONDO:0008094,familial multiple nevi flammei
MEDDRA:10063691,,MONDO:0008111,oculodentodigital dysplasia
MEDDRA:10052181,,MONDO:0008116,oculopharyngeal muscular dystrophy
MEDDRA:10014642,,MONDO:0008145,Ollier disease
MEDDRA:10048902,,MONDO:0008153,progressive osseous heteroplasia
MEDDRA:10064257,,MONDO:0008168,ovarian fibroma
MEDDRA:10033366,,MONDO:0008177,extramammary Paget disease
MEDDRA:10068223,,MONDO:0008177,extramammary Paget disease
MEDDRA:10071757,,MONDO:0008183,annular pancreas
MEDDRA:10052802,,MONDO:0008219,pemphigus vulgaris
MEDDRA:10036007,,MONDO:0008262,Poland syndrome
