drugbank_curie,label,unii,ncit,ncit_label,biolink_type,future_biolink_type,signal
DRUGBANK:DB14346,Mentha arvensis top,UNII:8J5Y2F7A5X,,,biolink:Food,,botanical-flag
DRUGBANK:DB14347,Platycodon grandiflorus root,UNII:2DF0NS0O2Z,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14349,Equisetum arvense top,UNII:1DP6Y6B65Z,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14350,Inula helenium root,UNII:E55SMD6DA8,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14352,Azadirachta indica leaf,UNII:HKY915780T,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14353,Zanthoxylum clava-herculis whole,UNII:Z5VZA25BUK,,,biolink:Food,,botanical-flag
DRUGBANK:DB14354,Salix alba bark volatile oil,UNII:PW3MX00JXN,,,biolink:Food,,botanical-flag
DRUGBANK:DB14355,Apple fruit oil,UNII:9NT987I3A8,,,biolink:Food,,botanical-flag
DRUGBANK:DB14356,Platycodon grandiflorus leaf,UNII:2L64H2X8DY,,,biolink:Food,,botanical-flag
DRUGBANK:DB14357,Chamomile,UNII:FGL3685T2X,NCIT:C73870,Chamomile Tea,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14358,Tribulus terrestris,UNII:4X4HLN92OT,,,biolink:Food,,botanical-flag
DRUGBANK:DB14360,Saw palmetto,UNII:J7WWH9M8QS,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14361,Rice bran,UNII:R60QEP13IC,NCIT:C111686,Rice Bran,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14362,Moringa oleifera leaf,UNII:4WET1AWO9B,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14363,Rosa centifolia flower oil,UNII:H32V31VMWY,NCIT:C107356,Rosa centifolia Flower Oil,biolink:Food,,botanical-flag
DRUGBANK:DB14364,Scutellaria baicalensis root,UNII:7J95K7ID2S,NCIT:C71863,Scutellaria baicalensis Root,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14365,Garcinia gummi-gutta fruit,UNII:D0QJI8UQVR,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14366,Ilex paraguariensis leaf,UNII:1Q953B4O4F,NCIT:C71770,Ilex paraguariensis Leaf,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14368,Capsicum annuum whole,UNII:7FKZ3QQQ1F,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14369,Typhonium giganteum whole,UNII:C61Y66MY4H,,,biolink:Food,,botanical-flag
DRUGBANK:DB14370,Phellodendron amurense bark,UNII:PBG27B754G,NCIT:C103230,Phellodendron amurense Bark Extract,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14372,Melaleuca alternifolia leaf,UNII:G43C57162K,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14373,Quercus acutissima whole,UNII:0TVP714IPW,,,biolink:Food,,botanical-flag
DRUGBANK:DB14375,Milk thistle,UNII:U946SH95EE,NCIT:C29261,Milk Thistle,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14376,Chicory leaf,UNII:WBQ249COFR,,,biolink:ComplexMolecularMixture,biolink:ProcessedMaterial,extract
DRUGBANK:DB14377,Palm oil,UNII:5QUO05548Z,NCIT:C72211,Palm Oil,biolink:Food,,botanical-flag
DRUGBANK:DB14378,Camphor leaf oil,UNII:51D0RGY52V,,,biolink:Food,,botanical-flag
