drugbank_curie,label,unii,unii_preferred_name,ncbitaxon,ncbitaxon_label,unii_ncit,unii_ncit_label,unii_ncit_parents,unii_ncit_semantic_types,has_extract_marker
DRUGBANK:DB15966,Influenza virus type B,UNII:1314JZ2X6W,INFLUENZA B VIRUS WHOLE,NCBITaxon:11520,Influenza B virus,NCIT:C53468,Influenza B Virus,NCIT:C53469 (Influenzavirus),T005=Virus,False
DRUGBANK:DB16360,Anti-SARS-CoV-2 immunoglobulin,UNII:VF62JD6WN3,HUMAN ANTI-SARS-COV-2 IMMUNOGLOBULIN,NCBITaxon:9606,Homo sapiens (human),,,,,False
DRUGBANK:DB16361,Descartes-30,UNII:4P8TSC4FR8,DESCARTES 30,NCBITaxon:9606,Homo sapiens (human),,,,,False
DRUGBANK:DB16499,INM005,UNII:QJ4WJD8DD3,INM-005,NCBITaxon:9796,Equus caballus (horse),NCIT:C175231,Anti-SARS-CoV-2 Equine Immunoglobulin F(ab')2 Fragments INM005,NCIT:C308 (Immunotherapeutic Agent),"T116=Amino Acid, Peptide, or Protein|T121=Pharmacologic Substance|T129=Immunologic Factor",False
DRUGBANK:DB16537,Bacillus clausii,UNII:KQ2N4RPK58,BACILLUS CLAUSII,NCBITaxon:79880,Shouchella clausii,,,,,False
DRUGBANK:DB16538,Bifidobacterium bifidum,UNII:WN5C16297P,BIFIDOBACTERIUM BIFIDUM,NCBITaxon:1681,Bifidobacterium bifidum,,,,,False
DRUGBANK:DB16539,Escherichia coli,UNII:514B9K0L10,ESCHERICHIA COLI,NCBITaxon:562,Escherichia coli (E. coli),NCIT:C14206,Escherichia coli,NCIT:C77208 (Escherichia),T007=Bacterium,False
DRUGBANK:DB16540,Lactobacillus delbrueckii bulgaricus,UNII:HU1W4L947H,LACTOBACILLUS DELBRUECKII SUBSP. BULGARICUS,NCBITaxon:1585,Lactobacillus delbrueckii subsp. bulgaricus,,,,,False
DRUGBANK:DB16541,Lactobacillus casei,UNII:SA940P2U00,LACTICASEIBACILLUS CASEI,NCBITaxon:1582,Lacticaseibacillus casei,,,,,False
DRUGBANK:DB16543,Lactobacillus gasseri,UNII:Q66E0D2443,LACTOBACILLUS GASSERI,NCBITaxon:1596,Lactobacillus gasseri,,,,,False
DRUGBANK:DB16544,Lactobacillus salivarius,UNII:7A4S6N2EG2,LIGILACTOBACILLUS SALIVARIUS,NCBITaxon:1624,Ligilactobacillus salivarius,,,,,False
DRUGBANK:DB16548,Streptococcus thermophilus,UNII:T8F3MOB0CG,STREPTOCOCCUS THERMOPHILUS,NCBITaxon:1308,Streptococcus thermophilus,,,,,False
DRUGBANK:DB16549,Bifidobacterium breve,UNII:L07O8T40TE,BIFIDOBACTERIUM BREVE,NCBITaxon:1685,Bifidobacterium breve,,,,,False
DRUGBANK:DB16550,Bifidobacterium animalis lactis,UNII:5307V7XW8I,BIFIDOBACTERIUM ANIMALIS LACTIS,NCBITaxon:302911,Bifidobacterium animalis subsp. lactis,,,,,False
DRUGBANK:DB16551,Lactobacillus paracasei,UNII:N1G291SC6Q,LACTICASEIBACILLUS PARACASEI,NCBITaxon:1597,Lacticaseibacillus paracasei,,,,,False
DRUGBANK:DB16556,Spermaceti,UNII:P86KHA8V3K,SPERMACETI,NCBITaxon:9755,Physeter macrocephalus (sperm whale),,,,,False
DRUGBANK:DB16562,Sepia esculenta bone,UNII:M6XU683549,SEPIA ESCULENTA BONE,NCBITaxon:31210,Acanthosepion esculentum (golden cuttlefish),,,,,False
DRUGBANK:DB16577,"Japanese encephalitis vaccine (live, attenuated)",UNII:ZZ1CP75F3U,JAPANESE ENCEPHALITIS LIVE ATTENUATED STRAIN SA 14-14-2 ANTIGEN,NCBITaxon:11072,Japanese encephalitis virus,,,,,False
DRUGBANK:DB16581,Darvadstrocel,UNII:31W7R94KYT,DARVADSTROCEL,NCBITaxon:9606,Homo sapiens (human),NCIT:C171654,Darvadstrocel,NCIT:C201556 (Therapeutic Mesenchymal Stem Cells),T121=Pharmacologic Substance,False
DRUGBANK:DB16582,Lisocabtagene maraleucel,UNII:7K2YOJ14X0,LISOCABTAGENE MARALEUCEL,NCBITaxon:9606,Homo sapiens (human),NCIT:C125192,Lisocabtagene Maraleucel,NCIT:C176018 (Anti-CD19 CAR T Cells Preparation)|NCIT:C200766 (Autologous CAR-T Cells),T025=Cell,False
DRUGBANK:DB16591,Ascophyllum nodosum,UNII:168S4EO8YJ,ASCOPHYLLUM NODOSUM,NCBITaxon:52969,Ascophyllum nodosum,,,,,True
DRUGBANK:DB16599,Cerebrolysin,UNII:37KZM6S21G,CEREBROLYSIN,NCBITaxon:9823,Sus scrofa (pig),NCIT:C221892,Cerebrolysin,NCIT:C1509 (Neuroprotective Agent),,False
