target,target_prefix,doid_subject_count,doid_subjects
ICD10:D69.8,ICD10,4,DOID:0060692|DOID:0111045|DOID:0111056|DOID:0111057
ICD10:E70.3,ICD10,4,DOID:0050632|DOID:0060831|DOID:0090100|DOID:0110949
ICD10:E72.1,ICD10,4,DOID:0111037|DOID:0111038|DOID:0111039|DOID:0111165
ICD10:E76.22,ICD10,4,DOID:0111393|DOID:0111394|DOID:0111395|DOID:0111402
ICD10:E78.6,ICD10,4,DOID:1386|DOID:1387|DOID:1388|DOID:1391
ICD10:E88.1,ICD10,4,DOID:0111135|DOID:0111136|DOID:0111137|DOID:0111138
ICD10:G20,ICD10,4,DOID:0060891|DOID:0060895|DOID:0060896|DOID:14330
ICD10:G25.8,ICD10,4,DOID:0060695|DOID:0060696|DOID:0060697|DOID:0060698
ICD10:H30.9,ICD10,4,DOID:10176|DOID:11406|DOID:3612|DOID:8886
ICD10:K52.9,ICD10,4,DOID:0060180|DOID:0060189|DOID:0060190|DOID:2326
ICD10:L50.2,ICD10,4,DOID:0090061|DOID:0090062|DOID:0090064|DOID:0090065
ICD10:Q13.8,ICD10,4,DOID:0060648|DOID:0110120|DOID:0110121|DOID:0110122
ICD10:Q73.8,ICD10,4,DOID:0110962|DOID:0110963|DOID:0110967|DOID:0110975
ICD10:Q81.0,ICD10,4,DOID:0060735|DOID:0060736|DOID:0090017|DOID:4644
ICD10:Q87.3,ICD10,4,DOID:0060476|DOID:0080351|DOID:14748|DOID:5572
ICD10:Q87.5,ICD10,4,DOID:0060179|DOID:0070748|DOID:0110091|DOID:0110097
MESH:D000077195,MESH,4,DOID:0070664|DOID:2876|DOID:5515|DOID:5520
MESH:D000098943,MESH,4,DOID:6039|DOID:6438|DOID:6524|DOID:6994
MESH:D000230,MESH,4,DOID:299|DOID:4903|DOID:4929|DOID:5675
MESH:D000742,MESH,4,DOID:0111397|DOID:0111399|DOID:0111401|DOID:1338
MESH:D002547,MESH,4,DOID:10965|DOID:10968|DOID:10970|DOID:1969
MESH:D005693,MESH,4,DOID:0111458|DOID:0111459|DOID:14695|DOID:9870
MESH:D006391,MESH,4,DOID:255|DOID:277|DOID:468|DOID:474
MESH:D009837,MESH,4,DOID:3181|DOID:3183|DOID:3186|DOID:7912
MESH:D010930,MESH,4,DOID:10398|DOID:10773|DOID:3481|DOID:3482
