drugbank_curie,label,unii,unii_ncit,organism_flags,current_ncit_retype
DRUGBANK:DB10461,Juniperus virginiana pollen,UNII:PY0JA16R2G,NCIT:C85273,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10462,Xanthium strumarium var. canadense pollen,UNII:0ZK6G3W3BI,NCIT:C85389,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10463,Populus deltoides pollen,UNII:476DVV63WP,NCIT:C85325,NCBI|PLANTS,
DRUGBANK:DB10464,Populus fremontii pollen,UNII:426RHB4302,NCIT:C85328,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10466,Cupressus arizonica pollen,UNII:232DMH0XVF,,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10467,Taxodium distichum pollen,UNII:O12H03B41R,NCIT:C85375,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10468,Eupatorium capillifolium pollen,UNII:B67NF86HF0,NCIT:C85164,NCBI|PLANTS|GRIN,
DRUGBANK:DB10469,Ulmus crassifolia pollen,UNII:G82398SD3I,NCIT:C85383,NCBI|PLANTS|GRIN,
DRUGBANK:DB10470,Eucalyptus globulus pollen,UNII:7XW7TB10X9,NCIT:C85163,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10471,Solidago canadensis pollen,UNII:644CZ16IR5,NCIT:C85366,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10472,Celtis occidentalis pollen,UNII:68R9X9Y96X,NCIT:C85150,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10473,Juniperus californica pollen,UNII:0H1V4V5V9L,NCIT:C85267,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10474,Robinia pseudoacacia pollen,UNII:8003NOJ82F,NCIT:C85351,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10475,Acer rubrum pollen,UNII:700NK45C76,NCIT:C80313,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10478,Melaleuca quinquenervia pollen,UNII:NX974IRT8E,NCIT:C85286,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10479,Chenopodium ambrosioides pollen,UNII:WIB701MW2H,NCIT:C85153,NCBI|GRIN|MPNS,
DRUGBANK:DB10480,Morus alba pollen,UNII:3I9T68187H,NCIT:C85290,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10481,Quercus rubra pollen,UNII:SVW19ET93C,NCIT:C85345,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10482,Syagrus romanzoffiana pollen,UNII:84ZOM591BB,NCIT:C85372,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10483,Schinus molle pollen,UNII:M0G28FH9K1,NCIT:C85364,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10484,Amaranthus spinosus pollen,UNII:380W4HYR6N,NCIT:C85099,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10485,Casuarina equisetifolia pollen,UNII:OZJ4OE173N,NCIT:C85149,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10486,Pinus strobus pollen,UNII:TX1ER5UV3T,NCIT:C85309,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10487,Pinus echinata pollen,UNII:96LRW14765,NCIT:C85301,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10488,Ligustrum vulgare pollen,UNII:Y3FRX92Z0E,NCIT:C85280,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10489,Elymus repens pollen,UNII:ON2T85TA2O,NCIT:C85162,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10490,Ambrosia tenuifolia pollen,UNII:57W5SO585B,NCIT:C85109,NCBI|PLANTS|GRIN|MPNS,
DRUGBANK:DB10491,Ambrosia bidentata pollen,UNII:M3S672G75O,NCIT:C85103,PLANTS|GRIN,
DRUGBANK:DB10493,Artemisia frigida pollen,UNII:5AN5LR8L3F,NCIT:C85117,NCBI|PLANTS|GRIN|MPNS,
