drugbank_curie,label,unii,unii_ncit
DRUGBANK:DB13892,Crotalus atrox antivenin,UNII:RBR61YAJ4V,
DRUGBANK:DB13893,Crotalus adamanteus antivenin,UNII:A4229A7019,
DRUGBANK:DB13894,Agkistrodon piscivorus antivenin,UNII:IA6O0K772M,
DRUGBANK:DB13897,Equine Botulinum Neurotoxin E Immune FAB2,UNII:T95649SUV7,
DRUGBANK:DB13898,Equine Botulinum Neurotoxin C Immune FAB2,UNII:X5I2P7E9TY,
DRUGBANK:DB13899,Equine Botulinum Neurotoxin G Immune FAB2,UNII:943578J0XG,
DRUGBANK:DB13900,Equine Botulinum Neurotoxin A Immune FAB2,UNII:LE3J6I6DXP,
DRUGBANK:DB13901,Equine Botulinum Neurotoxin F Immune FAB2,UNII:RJN8G983LQ,
DRUGBANK:DB13902,Equine Botulinum Neurotoxin D Immune FAB2,UNII:30Y9N0SEBE,
DRUGBANK:DB13903,Equine Botulinum Neurotoxin B Immune FAB2,UNII:VSK09VP4HL,
DRUGBANK:DB13904,Cat dander extract,UNII:ZDN2AC0L08,NCIT:C84494
DRUGBANK:DB13905,Scorpion (centruroides) immune Fab2 antivenin (equine),UNII:DDA050FCEA,
DRUGBANK:DB13915,Axicabtagene ciloleucel,UNII:U2I8T43Y7R,NCIT:C120309
DRUGBANK:DB14009,Medical Cannabis,UNII:FTS5RM302N,NCIT:C26659
DRUGBANK:DB14016,Ox bile extract,UNII:ET3651ZLOU,
DRUGBANK:DB14022,Typhoid vaccine,UNII:760T5R8B3O,NCIT:C86926
DRUGBANK:DB14100,Pork collagen,UNII:I8442U2G7J,
DRUGBANK:DB14112,Human vaccinia virus immune globulin,UNII:7UB4J759TD,NCIT:C80973
DRUGBANK:DB14113,Black widow spider antivenin (equine),UNII:5VJA14972G,
DRUGBANK:DB14114,Viper antivenom,UNII:92VV7G83ED,
DRUGBANK:DB14115,Human botulinum neurotoxin A/B immune globulin,UNII:X641Y30OA7,NCIT:C80825
DRUGBANK:DB14162,Northern bluefin tuna,UNII:816CLQ4017,
DRUGBANK:DB14165,Culex pipiens,UNII:45KA5D7541,
DRUGBANK:DB14168,Sarocladium strictum,UNII:3F36V0451W,NCIT:C87527
DRUGBANK:DB14172,Evernia prunastri,UNII:O3034Q5AHK,
DRUGBANK:DB14181,Lanolin alcohols,UNII:884C3FA9HE,NCIT:C219203
DRUGBANK:DB14222,Bifidobacterium longum infantis,UNII:EF3U3H7I76,
DRUGBANK:DB14223,Clostridium botulinum,UNII:0296055VE0,
DRUGBANK:DB14224,Lactobacillus reuteri,UNII:9913I24QEE,
DRUGBANK:DB14225,Enterococcus faecium,UNII:34YYS7G16P,
DRUGBANK:DB14226,Lactobacillus helveticus,UNII:Q08Z44662J,
DRUGBANK:DB14234,Sus scrofa stomach,UNII:T0920P9Z9A,
DRUGBANK:DB14243,Sus scrofa placenta,UNII:C8CV8867O8,
DRUGBANK:DB14244,Garden snail mucin,UNII:BPB1U0R467,
DRUGBANK:DB14247,Moschus berezovskii musk sac resin,UNII:Z70MFY52S4,
DRUGBANK:DB14248,Bos taurus gallstone,UNII:4162LZ0N4O,
DRUGBANK:DB14249,Pearl (hyriopsis cumingii),UNII:A75L5FZ40U,
DRUGBANK:DB14250,Royal jelly,UNII:L497I37F0C,NCIT:C87569
DRUGBANK:DB14251,Ostrea edulis shell,UNII:49OY13BE7Z,
DRUGBANK:DB14260,Stypocaulon scoparium,UNII:C4AD0HDH4I,
DRUGBANK:DB14282,Phellinus linteus mycelium,UNII:40K19XJV3C,
DRUGBANK:DB14287,Trametes versicolor fruiting body,UNII:4C900477MT,
DRUGBANK:DB14332,Inonotus obliquus fruiting body,UNII:MRO1FS760M,
DRUGBANK:DB14348,Citrus junos fruit,UNII:53KHW58C1V,
DRUGBANK:DB14351,Usnea barbata,UNII:D6DVA9TCAP,
DRUGBANK:DB14359,Tremella fuciformis whole,UNII:4938BNS0GU,
DRUGBANK:DB14367,Chondrus crispus,UNII:OQS23HUA1X,NCIT:C180534
DRUGBANK:DB14388,Bordetella pertussis toxoid antigen (formaldehyde inactivated),UNII:N51SPD4A45,NCIT:C77703
DRUGBANK:DB14410,Human adenovirus b serotype 7,UNII:K7O6S79496,
DRUGBANK:DB14427,Neisseria meningitidis group a capsular oligosaccharide diphtheria crm197 protein conjugate antigen,UNII:3O44U6XYQK,
DRUGBANK:DB14429,Neisseria meningitidis group w-135 capsular oligosaccharide diphtheria crm197 protein conjugate antigen,UNII:5JT3N61JSP,
