drugbank_curie,label,biolink_type,unii,ncit,signal
DRUGBANK:DB10885,Mustard greens,biolink:Food,5M338IN22E,NCIT:C72031,ncit-food
DRUGBANK:DB10890,Red bell pepper,biolink:Food,E917XHH50V,NCIT:C72006,ncit-food
DRUGBANK:DB10891,Perch,biolink:Food,50Y07N9X03,NCIT:C71924,ncit-food
DRUGBANK:DB10892,Pumpkin,biolink:Food,SYW0QUB89Y,NCIT:C72016,ncit-food
DRUGBANK:DB10897,Capsicum,biolink:Food,00UK7646FG,NCIT:C75665,ncit-food
DRUGBANK:DB10907,Sunflower seed,biolink:Food,R9N3379M4Z,NCIT:C71938,ncit-food
DRUGBANK:DB10913,"Starch, tapioca",biolink:Food,24SC3U704I,NCIT:C80781,ncit-food
DRUGBANK:DB10918,Venison,biolink:Food,85EA9K88OY,NCIT:C71936,ncit-food
DRUGBANK:DB10919,Black walnut,biolink:Food,02WM57RXZJ,NCIT:C72054,ncit-food
DRUGBANK:DB10981,Radish,biolink:Food,EM5RP35463,NCIT:C72014,ncit-food
DRUGBANK:DB11008,Poultry,biolink:Food,L7WXO2P5HM,NCIT:C53475,ncit-food
DRUGBANK:DB11009,"Quahog, unspecified",biolink:Food,226LY0AFR9,NCIT:C71920,ncit-food
DRUGBANK:DB11010,"Cod, unspecified",biolink:Food,8D6Q5LNG3D,NCIT:C71921,ncit-food
DRUGBANK:DB11011,Crab leg,biolink:Food,S1VF61QLO9,NCIT:C71929,ncit-food
DRUGBANK:DB11014,"Salmon, unspecified",biolink:Food,6122W2M0GB,NCIT:C71905,ncit-food
DRUGBANK:DB11017,Yeast,biolink:Food,3NY3SM6B8U,NCIT:C66676,ncit-food
DRUGBANK:DB11094,Vitamin D,biolink:Food,9VU1KI44GP,NCIT:C941,ncit-food
DRUGBANK:DB11133,Omega-3 fatty acids,biolink:Food,71M78END5S,NCIT:C493,ncit-food
DRUGBANK:DB11158,Pectin,biolink:Food,89NA02M4RX,NCIT:C63647,ncit-food
DRUGBANK:DB11172,Sesame oil,biolink:Food,QX10HYY4QV,NCIT:C66537,ncit-food
DRUGBANK:DB11242,Gelatin,biolink:Food,2G86QN327L,NCIT:C65802,ncit-food
DRUGBANK:DB11251,Tocopherol,biolink:Food,R0ZB2556P8,NCIT:C68313,ncit-food
DRUGBANK:DB11253,Xanthan gum,biolink:Food,TTV12P4NEE,NCIT:C84244,ncit-food
DRUGBANK:DB11266,Sea salt,biolink:Food,87GE52P74G,NCIT:C75874,ncit-food
DRUGBANK:DB11302,Hydrogenated soybean oil,biolink:Food,A2M91M918C,NCIT:C83765,ncit-food
DRUGBANK:DB11599,"Starch, corn",biolink:Food,O8232NY3SJ,NCIT:C80778,ncit-food
DRUGBANK:DB12583,Maltodextrin,biolink:Food,7CVR7L4A2D,NCIT:C68474,ncit-food
DRUGBANK:DB13168,Omega-6 fatty acids,biolink:Food,116Z6MZN1M,NCIT:C2563,ncit-food
DRUGBANK:DB13195,Horse chestnut,biolink:Food,3C18L6RJAZ,NCIT:C80286,ncit-food
DRUGBANK:DB13964,Peanut oil,biolink:Food,5TL50QU0W4,NCIT:C66332,ncit-food
DRUGBANK:DB14161,"Lecithin, soybean",biolink:Food,1DI56QDM62,NCIT:C80292,ncit-food
DRUGBANK:DB14233,Egg phospholipids,biolink:Food,1Z74184RGV,NCIT:C79998,ncit-food
DRUGBANK:DB14241,"Caviar, unspecified",biolink:Food,020K6HLU0O,NCIT:C72058,ncit-food
DRUGBANK:DB14242,Honey,biolink:Food,Y9H1V576FH,NCIT:C65859,ncit-food
DRUGBANK:DB14317,Pomegranate,biolink:Food,56687D1Z4D,NCIT:C73929,ncit-food
DRUGBANK:DB14322,Coconut oil,biolink:Food,Q9L0O73W7L,NCIT:C65347,ncit-food
DRUGBANK:DB14329,Sunflower oil,biolink:Food,3W1JG795YI,NCIT:C1241,ncit-food
DRUGBANK:DB14694,Beef liver,biolink:Food,W8N8R55022,NCIT:C75669,ncit-food
DRUGBANK:DB14709,Bean,biolink:Food,8WB9PV3YW5,NCIT:C71990,ncit-food
DRUGBANK:DB14758,Catfish,biolink:Food,EFN1AL1YP0,NCIT:C71919,ncit-food
DRUGBANK:DB14759,Red pepper,biolink:Food,6M47G7C4SY,NCIT:C73793,ncit-food
DRUGBANK:DB14836,Polydextrose,biolink:Food,VH2XOU12IE,NCIT:C81624,ncit-food
DRUGBANK:DB15216,Amylose,biolink:Food,7TDQ74Y18L,NCIT:C68489,ncit-food
DRUGBANK:DB15611,Muskmelon,biolink:Food,ZV095H5633,NCIT:C72030,ncit-food
DRUGBANK:DB15615,Fennel,biolink:Food,557II4LLC3,NCIT:C71970,ncit-food
DRUGBANK:DB16558,Rosa canina fruit,biolink:Food,3TNW8D08V3,NCIT:C71789,ncit-food
DRUGBANK:DB16638,Cnidium monnieri fruit,biolink:Food,V1IA3S3CUS,NCIT:C73874,ncit-food
DRUGBANK:DB18685,Whey,biolink:Food,8617Z5FMF6,NCIT:C71947,ncit-food
