pipeline	subject	subject_label	predicate	object	object_label	asserted_by	status
disease	DOID:2581	chondrodysplasia punctata	xref	GARD:8542	Chondrodysplasia punctata	DOID	from_other_source
disease	DOID:2582	acatalasia	xref	GARD:363	Acatalasia	DOID	from_other_source
disease	DOID:2596	larynx cancer	xref	GARD:6862	Laryngeal carcinoma	DOID	from_other_source
disease	DOID:2626	choroid plexus papilloma	xref	GARD:4214	Choroid plexus papilloma	DOID	from_other_source
disease	DOID:2636	ovarian Brenner tumor	xref	GARD:9397	Ovarian Brenner tumor	DOID	from_other_source
disease	DOID:264	hemangiopericytoma	xref	GARD:2627	Hemangiopericytoma, malignant	DOID	from_other_source
disease	DOID:2649	chondroblastoma	xref	GARD:6047	Chondroblastoma	DOID	from_other_source
disease	DOID:2671	transitional cell carcinoma	xref	GARD:7794	Transitional cell carcinoma	DOID	from_other_source
disease	DOID:2679	dysembryoplastic neuroepithelial tumor	xref	GARD:10640	Dysembryoplastic neuroepithelial tumor	DOID	from_other_source
disease	DOID:268	liver angiosarcoma	xref	GARD:5813	Liver angiosarcoma	DOID	from_other_source
disease	DOID:2702	pigmented villonodular synovitis	xref	GARD:7396	Tenosynovial giant cell tumor, diffuse type	DOID	from_other_source
disease	DOID:2729	dyskeratosis congenita	xref	GARD:10905	Dyskeratosis congenita	DOID	from_other_source
disease	DOID:2730	epidermolysis bullosa	xref	GARD:6359	Epidermolysis bullosa	DOID	from_other_source
disease	DOID:2732	Rothmund-Thomson syndrome	xref	GARD:4392	Rothmund-Thomson syndrome	DOID	from_other_source
disease	DOID:2736	Hajdu-Cheney syndrome	xref	GARD:508	Hajdu-Cheney syndrome	DOID	from_other_source
disease	DOID:2738	pseudoxanthoma elasticum	xref	GARD:9643	Inherited pseudoxanthoma elasticum	DOID	from_other_source
disease	DOID:2746	glycogen storage disease V	xref	GARD:6528	Glycogen storage disease, type V	DOID	from_other_source
disease	DOID:2749	glycogen storage disease Ia	xref	GARD:7864	Glycogen storage disease due to glucose-6-phosphatase deficiency type IA	DOID	from_other_source
disease	DOID:2750	glycogen storage disease IV	xref	GARD:2520	Glycogen storage disease, type IV	DOID	from_other_source
disease	DOID:2752	glycogen storage disease II	xref	GARD:5714	Glycogen storage disease, type II	DOID	from_other_source
disease	DOID:2785	Dandy-Walker syndrome	xref	GARD:6242	Dandy-Walker syndrome	DOID	from_other_source
disease	DOID:2800	acute interstitial pneumonia	xref	GARD:12835	Acute interstitial pneumonia	DOID	from_other_source
disease	DOID:2842	Jervell-Lange Nielsen syndrome	xref	GARD:3048	Jervell and Lange-Nielsen syndrome	DOID	from_other_source
disease	DOID:285	hairy cell leukemia	xref	GARD:6560	Hairy cell leukemia	DOID	from_other_source
disease	DOID:2862	glucosephosphate dehydrogenase deficiency	xref	GARD:6520	Anemia, nonspherocytic hemolytic, due to G6PD deficiency	DOID	from_other_source
disease	DOID:2908	Treacher Collins syndrome	xref	GARD:9124	Treacher Collins syndrome	DOID	from_other_source
disease	DOID:2920	membranoproliferative glomerulonephritis	xref	GARD:11982	Primary membranoproliferative glomerulonephritis	DOID	from_other_source
disease	DOID:2921	glomerulonephritis	xref	GARD:6516	Glomerulonephritis	DOID	from_other_source
disease	DOID:2935	Chediak-Higashi syndrome	xref	GARD:6035	Chédiak-Higashi syndrome	DOID	from_other_source
disease	DOID:2945	severe acute respiratory syndrome	xref	GARD:9237	Severe acute respiratory syndrome	DOID	from_other_source
disease	DOID:2962	Cockayne syndrome	xref	GARD:6122	Cockayne syndrome	DOID	from_other_source
disease	DOID:2986	IgA glomerulonephritis	xref	GARD:863	IgA glomerulonephritis	DOID	from_other_source
disease	DOID:2987	familial Mediterranean fever	xref	GARD:6421	Familial Mediterranean fever	DOID	from_other_source
disease	DOID:2988	antiphospholipid syndrome	xref	GARD:5824	Antiphospholipid syndrome	DOID	from_other_source
disease	DOID:2997	Sertoli-Leydig cell tumor	xref	GARD:9967	Sertoli-Leydig cell tumor	DOID	from_other_source
disease	DOID:3012	Li-Fraumeni syndrome	xref	GARD:6902	Li-Fraumeni syndrome	DOID	from_other_source
disease	DOID:3025	acinar cell carcinoma	xref	GARD:8568	Acinar cell carcinoma	DOID	from_other_source
disease	DOID:3068	glioblastoma	xref	GARD:2491	Glioblastoma	DOID	from_other_source
disease	DOID:3071	gliosarcoma	xref	GARD:5653	Gliosarcoma	DOID	from_other_source
disease	DOID:3078	anaplastic astrocytoma	xref	GARD:5860	Astrocytoma, anaplastic	DOID	from_other_source
disease	DOID:3081	cystic lymphangioma	xref	GARD:6234	Cystic hygroma	DOID	from_other_source
disease	DOID:3121	gallbladder cancer	xref	GARD:9328	Gallbladder cancer	DOID	from_other_source
disease	DOID:3132	porphyria cutanea tarda	xref	GARD:7433	Porphyria cutanea tarda	DOID	from_other_source
disease	DOID:3140	scleredema adultorum	xref	GARD:5975	Scleredema	DOID	from_other_source
disease	DOID:3144	cutis laxa	xref	GARD:6227	Cutis laxa	DOID	from_other_source
disease	DOID:3181	oligodendroglioma	xref	GARD:9953	Oligodendroglioma	DOID	from_other_source
disease	DOID:3191	nemaline myopathy	xref	GARD:12033	Nemaline myopathy	DOID	from_other_source
