pipeline,preferred_id,preferred_label,biolink_type,member_count,equivalent_ids,preferred_id_would_survive,needs_biolink_registration,unsupported_prefixes
disease,GARD:0000409,Pachygyria-intellectual disability-epilepsy syndrome,biolink:Disease,1,GARD:0000409,false,true,GARD
disease,GARD:0000411,Sanjad sakati syndrome,biolink:Disease,1,GARD:0000411,false,true,GARD
disease,GARD:0000412,Cheilitis glandularis,biolink:Disease,1,GARD:0000412,false,true,GARD
disease,GARD:0000413,Geroderma osteodysplastica,biolink:Disease,1,GARD:0000413,false,true,GARD
disease,GARD:0000414,Bamforth-Lazarus syndrome,biolink:Disease,1,GARD:0000414,false,true,GARD
disease,GARD:0000415,Pseudoprogeria syndrome,biolink:Disease,1,GARD:0000415,false,true,GARD
disease,GARD:0000418,Essential pentosuria,biolink:Disease,1,GARD:0000418,false,true,GARD
disease,GARD:0000420,Mismatch repair cancer syndrome 1,biolink:Disease,1,GARD:0000420,false,true,GARD
disease,GARD:0000424,XK aprosencephaly,biolink:Disease,1,GARD:0000424,false,true,GARD
disease,GARD:0000425,Tufted angioma of skin,biolink:Disease,1,GARD:0000425,false,true,GARD
disease,GARD:0000427,Ptosis-vocal cord paralysis syndrome,biolink:Disease,1,GARD:0000427,false,true,GARD
disease,GARD:0000428,Craniofrontonasal dysplasia-Poland anomaly syndrome,biolink:Disease,1,GARD:0000428,false,true,GARD
disease,GARD:0000429,Amniotic band syndrome,biolink:Disease,1,GARD:0000429,false,true,GARD
disease,GARD:0000431,Microtia-Anotia,biolink:Disease,1,GARD:0000431,false,true,GARD
disease,GARD:0000433,Apparent mineralocorticoid excess,biolink:Disease,1,GARD:0000433,false,true,GARD
disease,GARD:0000434,X-linked hydrocephalus syndrome,biolink:Disease,1,GARD:0000434,false,true,GARD
