gene_id,symbol,tax_id,dropped_synonym,shredded_from,raw_synonyms_field
841474,CYP705A27,3702,family 705,"cytochrome P450, family 705, subfamily A, polypeptide 27",''cytochrome P450|F11F12.13|F11F12_13|cytochrome P450|family 705|polypeptide 27|polypeptide 27''|subfamily A
841474,CYP705A27,3702,polypeptide 27,"cytochrome P450, family 705, subfamily A, polypeptide 27",''cytochrome P450|F11F12.13|F11F12_13|cytochrome P450|family 705|polypeptide 27|polypeptide 27''|subfamily A
841474,CYP705A27,3702,subfamily A,"cytochrome P450, family 705, subfamily A, polypeptide 27",''cytochrome P450|F11F12.13|F11F12_13|cytochrome P450|family 705|polypeptide 27|polypeptide 27''|subfamily A
841477,CYP705A25,3702,cytochrome P450,"cytochrome P450, family 705, subfamily A, polypeptide 25",''cytochrome P450|F11F12.12|F11F12_12|cytochrome P450|family 705|polypeptide 25|polypeptide 25''|subfamily A
841477,CYP705A25,3702,family 705,"cytochrome P450, family 705, subfamily A, polypeptide 25",''cytochrome P450|F11F12.12|F11F12_12|cytochrome P450|family 705|polypeptide 25|polypeptide 25''|subfamily A
841477,CYP705A25,3702,polypeptide 25,"cytochrome P450, family 705, subfamily A, polypeptide 25",''cytochrome P450|F11F12.12|F11F12_12|cytochrome P450|family 705|polypeptide 25|polypeptide 25''|subfamily A
841477,CYP705A25,3702,subfamily A,"cytochrome P450, family 705, subfamily A, polypeptide 25",''cytochrome P450|F11F12.12|F11F12_12|cytochrome P450|family 705|polypeptide 25|polypeptide 25''|subfamily A
841856,NF-YA5,3702,nuclear factor Y,"nuclear factor Y, subunit A5",''nuclear factor Y|F15I1.26|F15I1_26|NFYA5|NUCLEAR FACTOR Y A5|nuclear factor Y|subunit A5|subunit A5''
841856,NF-YA5,3702,subunit A5,"nuclear factor Y, subunit A5",''nuclear factor Y|F15I1.26|F15I1_26|NFYA5|NUCLEAR FACTOR Y A5|nuclear factor Y|subunit A5|subunit A5''
841922,NF-YC3,3702,nuclear factor Y,"nuclear factor Y, subunit C3",''nuclear factor Y|F14C21.41|F14C21_41|nuclear factor Y|subunit C3|subunit C3''
841922,NF-YC3,3702,subunit C3,"nuclear factor Y, subunit C3",''nuclear factor Y|F14C21.41|F14C21_41|nuclear factor Y|subunit C3|subunit C3''
842070,NF-YC2,3702,nuclear factor Y,"nuclear factor Y, subunit C2",''nuclear factor Y|ATHAP5B|F14G9.21|HAP5B|nuclear factor Y|subunit C2|subunit C2''
842070,NF-YC2,3702,subunit C2,"nuclear factor Y, subunit C2",''nuclear factor Y|ATHAP5B|F14G9.21|HAP5B|nuclear factor Y|subunit C2|subunit C2''
842150,CYP96A15,3702,cytochrome P450,"cytochrome P450, family 96, subfamily A, polypeptide 15",''cytochrome P450|MAH1|MID-CHAIN ALKANE HYDROXYLASE 1|T8L23.21|T8L23_21|cytochrome P450|family 96|polypeptide 15|polypeptide 15''|subfamily A
842150,CYP96A15,3702,family 96,"cytochrome P450, family 96, subfamily A, polypeptide 15",''cytochrome P450|MAH1|MID-CHAIN ALKANE HYDROXYLASE 1|T8L23.21|T8L23_21|cytochrome P450|family 96|polypeptide 15|polypeptide 15''|subfamily A
842150,CYP96A15,3702,polypeptide 15,"cytochrome P450, family 96, subfamily A, polypeptide 15",''cytochrome P450|MAH1|MID-CHAIN ALKANE HYDROXYLASE 1|T8L23.21|T8L23_21|cytochrome P450|family 96|polypeptide 15|polypeptide 15''|subfamily A
842150,CYP96A15,3702,subfamily A,"cytochrome P450, family 96, subfamily A, polypeptide 15",''cytochrome P450|MAH1|MID-CHAIN ALKANE HYDROXYLASE 1|T8L23.21|T8L23_21|cytochrome P450|family 96|polypeptide 15|polypeptide 15''|subfamily A
842603,NRS/ER,3702,nucleotide-rhamnose synthase/epimerase-reductase,nucleotide-rhamnose synthase/epimerase-reductase,''UDP-4-KETO-6-DEOXY-D-GLUCOSE-3|5-EPIMERASE-4-REDUCTASE 1|5-EPIMERASE-4-REDUCTASE 1''|F16P17.17|F16P17_17|UDP-4-KETO-6-DEOXY-D-GLUCOSE-3|UER1|nucleotide-rhamnose synthase/epimerase-reductase
842675,CYP86A7,3702,cytochrome P450,"cytochrome P450, family 86, subfamily A, polypeptide 7",''cytochrome P450|F24D7.10|F24D7_10|cytochrome P450|family 86|polypeptide 7|polypeptide 7''|subfamily A
842675,CYP86A7,3702,family 86,"cytochrome P450, family 86, subfamily A, polypeptide 7",''cytochrome P450|F24D7.10|F24D7_10|cytochrome P450|family 86|polypeptide 7|polypeptide 7''|subfamily A
842675,CYP86A7,3702,polypeptide 7,"cytochrome P450, family 86, subfamily A, polypeptide 7",''cytochrome P450|F24D7.10|F24D7_10|cytochrome P450|family 86|polypeptide 7|polypeptide 7''|subfamily A
842675,CYP86A7,3702,subfamily A,"cytochrome P450, family 86, subfamily A, polypeptide 7",''cytochrome P450|F24D7.10|F24D7_10|cytochrome P450|family 86|polypeptide 7|polypeptide 7''|subfamily A
842798,CYP89A2,3702,cytochrome P450,"cytochrome P450, family 89, subfamily A, polypeptide 2",''cytochrome P450|CYP89|F13O11.20|F13O11_20|cytochrome P450|family 89|polypeptide 2|polypeptide 2''|subfamily A
842798,CYP89A2,3702,family 89,"cytochrome P450, family 89, subfamily A, polypeptide 2",''cytochrome P450|CYP89|F13O11.20|F13O11_20|cytochrome P450|family 89|polypeptide 2|polypeptide 2''|subfamily A
842798,CYP89A2,3702,polypeptide 2,"cytochrome P450, family 89, subfamily A, polypeptide 2",''cytochrome P450|CYP89|F13O11.20|F13O11_20|cytochrome P450|family 89|polypeptide 2|polypeptide 2''|subfamily A
