pipeline	subject	subject_label	predicate	object	object_label	asserted_by	status
disease	MP:0008528	polycystic kidney	xref	Fyler:4508		MP	added
disease	MP:0008726	increased heart left atrium size	xref	Fyler:3011		MP	added
disease	MP:0008727	increased heart right atrium size	xref	Fyler:1771		MP	added
disease	MP:0008876	decreased uterine NK cell number	xref	CL:0002343		MP	added
disease	MP:0008924	decreased cerebellar granule cell number	xref	CL:0001031		MP	added
disease	MP:0008925	increased cerebellar granule cell number	xref	CL:0001031		MP	added
disease	MP:0008950	ventricular tachycardia	xref	Fyler:7160		MP	added
disease	MP:0008970	choanal atresia	xref	Fyler:4203		MP	added
disease	MP:0009099	abnormal uterine NK cell physiology	xref	CL:0002343		MP	added
disease	MP:0009203	external male genitalia hypoplasia	xref	UMLS:C0341787	Bifid scrotum	MP	added
disease	MP:0009380	abnormal prostate gland ventral lobe morphology	xref	MA:0001740		MP	added
disease	MP:0009381	abnormal prostate gland dorsolateral lobe morphology	xref	MA:0001739		MP	added
disease	MP:0009394	increased uterine NK cell number	xref	CL:0002343		MP	added
disease	MP:0009450	abnormal axon fasciculation	xref	GO:0007413		MP	added
disease	MP:0009451	abnormal chromosomal synapsis	xref	GO:0007129		MP	added
disease	MP:0009489	abnormal blood vessel endothelium morphology	xref	MA:0000709		MP	added
disease	MP:0009640	abnormal renal tubule epithelium morphology	xref	MA:0001681		MP	added
disease	MP:0009676	abnormal hemostasis	xref	GO:0007599		MP	added
disease	MP:0009677	abnormal spinal cord dorsal column morphology	xref	MA:0002749		MP	added
disease	MP:0009678	abnormal spinal cord lateral column morphology	xref	MA:0002750		MP	added
disease	MP:0009679	abnormal spinal cord ventral column morphology	xref	MA:0002751		MP	added
disease	MP:0009684	abnormal spinal cord lateral motor column morphology	xref	MA:0001129		MP	added
disease	MP:0009723	increased nipple number	xref	Fyler:4234		MP	added
disease	MP:0009734	abnormal prostate gland duct morphology	xref	MA:0002785		MP	added
disease	MP:0009861	abnormal pyloric sphincter morphology	xref	MA:0002952		MP	added
disease	MP:0009862	abnormal aorta elastic tissue morphology	xref	MA:0002859		MP	added
disease	MP:0009863	abnormal heart elastic tissue morphology	xref	MA:0002858		MP	added
disease	MP:0009864	abnormal aorta endothelium morphology	xref	MA:0000701		MP	added
disease	MP:0009865	abnormal aorta smooth muscle morphology	xref	MA:0000702		MP	added
disease	MP:0009866	abnormal aorta wall morphology	xref	MA:0002901		MP	added
disease	MP:0009867	abnormal ascending aorta morphology	xref	Fyler:1431		MP	added
disease	MP:0009867	abnormal ascending aorta morphology	xref	MA:0002570		MP	added
disease	MP:0009868	abnormal descending thoracic aorta morphology	xref	MA:0002572		MP	added
disease	MP:0009869	abnormal descending aorta morphology	xref	MA:0002571		MP	added
disease	MP:0009870	abnormal abdominal aorta morphology	xref	MA:0000474		MP	added
disease	MP:0009871	abnormal aorta tunica adventitia morphology	xref	MA:0002902		MP	added
disease	MP:0009872	abnormal aorta tunica intima morphology	xref	MA:0002904		MP	added
disease	MP:0009873	abnormal aorta tunica media morphology	xref	MA:0002903		MP	added
disease	MP:0009875	absent interdigital cell death	xref	MGI:llw2		MP	added
