pipeline	subject	subject_label	predicate	object	object_label	asserted_by	status
disease	MP:0005247	abnormal extraocular muscle morphology	xref	https://en.wikipedia.org/wiki/Extraocular_muscles		MP	added
disease	MP:0005262	coloboma	xref	Fyler:4311		MP	added
disease	MP:0005267	abnormal olfactory cortex morphology	xref	MA:0000193		MP	added
disease	MP:0005312	pericardial effusion	xref	Fyler:1940		MP	added
disease	MP:0005330	cardiomyopathy	xref	Fyler:1840		MP	added
disease	MP:0006044	tricuspid valve regurgitation	xref	Fyler:1161		MP	added
disease	MP:0006045	mitral valve regurgitation	xref	Fyler:1151		MP	added
disease	MP:0006063	abnormal inferior vena cava morphology	xref	Fyler:2810		MP	added
disease	MP:0006064	abnormal superior vena cava morphology	xref	Fyler:2820		MP	added
disease	MP:0006083	abnormal blood vessel elastic tissue morphology	xref	MA:0002856		MP	added
disease	MP:0006117	aortic valve stenosis	xref	Fyler:1411		MP	added
disease	MP:0006118	aortic valve prolapse	xref	Fyler:1452		MP	added
disease	MP:0006119	mitral valve atresia	xref	Fyler:0310		MP	added
disease	MP:0006119	mitral valve atresia	xref	Fyler:310		MP	added
disease	MP:0006120	mitral valve prolapse	xref	Fyler:1533		MP	added
disease	MP:0006122	mitral valve stenosis	xref	Fyler:1511		MP	added
disease	MP:0006123	tricuspid valve atresia	xref	Fyler:0400		MP	added
disease	MP:0006123	tricuspid valve atresia	xref	Fyler:400		MP	added
disease	MP:0006125	tricuspid valve prolapse	xref	Fyler:1733		MP	added
disease	MP:0006128	pulmonary valve stenosis	xref	Fyler:1611		MP	added
disease	MP:0006130	pulmonary valve atresia	xref	Fyler:1001		MP	added
disease	MP:0006142	abnormal sinoatrial node conduction	xref	Fyler:7010		MP	added
disease	MP:0006278	aortic aneurysm	xref	Fyler:2301		MP	added
disease	MP:0006282	abnormal spinal cord dorsal horn morphology	xref	MA:0001119		MP	added
disease	MP:0008027	abnormal spinal cord white matter morphology	xref	MA:0000910		MP	added
disease	MP:0008043	abnormal NK cell number	xref	CL:0000623		MP	added
disease	MP:0008043	abnormal NK cell number	xref	FMA:63147		MP	added
disease	MP:0008043	abnormal NK cell number	xref	FMA:83601		MP	added
disease	MP:0008044	increased NK cell number	xref	CL:0000623		MP	added
