pipeline,clique_preferred_id,clique_preferred_label,clique_biolink_type,change_kind,added_kind,added_id,added_id_label,added_id_biolink_type,would_be_added,needs_biolink_registration,biolink_registration_note,equivalent_ids
disease,DOID:12642,,,expanded,preexisting,MP:0003924,,biolink:PhenotypicFeature,,,,DOID:12642|DOID:3827|EFO:0008561|GARD:1481|HP:0002036|ICD10:K44|MEDDRA:10012713|MEDDRA:10012714|MEDDRA:10012717|MEDDRA:10012720|MEDDRA:10012723|MEDDRA:10018802|MEDDRA:10019914|MEDDRA:10020024|MEDDRA:10020028|MEDDRA:10033774|MEDDRA:10033884|MEDDRA:10039210|MEDDRA:10041019|MEDDRA:10058165|MEDDRA:10058167|MEDDRA:10059188|MEDDRA:10072765|MEDDRA:10075920|MEDDRA:10075921|MEDDRA:10081550|MEDGEN:483347|MESH:D006548|MESH:D006551|MIM:142340|MIM:142400|MIM:222400|MIM:610187|MONDO:0007721|MP:0003924|NCIT:C34687|NCIT:C98945|OMIM:142400|ORDO:2140|SNOMEDCT:196903009|SNOMEDCT:236053002|SNOMEDCT:3662000|SNOMEDCT:39839004|SNOMEDCT:84089009|SNOMEDCT_US_2025_09_01:155748004|SNOMEDCT_US_2025_09_01:236053002|SNOMEDCT_US_2025_09_01:3662000|SNOMEDCT_US_2025_09_01:84089009|UMLS:C0019284|UMLS:C0267725|UMLS:C0376710|UMLS:C0700510|UMLS:C3489393
disease,DOID:13620,,,expanded,added,MP:0004225,,biolink:PhenotypicFeature,,,,DOID:13620|Fyler:2020|HP:0001655|ICD10:Q21.12|MEDDRA:10016982|MEDGEN:8891|MESH:D054092|MONDO:0020439|MP:0004225|NCIT:C34619|SNOMEDCT:204317008|SNOMEDCT_US_2025_09_01:268316001|UMLS:C0016522|http://id.who.int/icd/entity/1618980674
disease,DOID:13832,,,expanded,added,MP:0003139,,biolink:PhenotypicFeature,,,,DOID:13832|Fyler:2100|GARD:7342|HP:0001643|ICD10:Q25.0|ICD10CM:Q25.0|ICD9:747.0|MEDDRA:10013807|MEDDRA:10034130|MEDGEN:4415|MESH:D004374|MIM:607411|MONDO:0011827|MP:0003139|NCIT:C84492|OMIM.PS:607411|SNOMEDCT:83330001|SNOMEDCT_US_2025_09_01:156928009|UMLS:C0013274|http://id.who.int/icd/entity/1262462321|orphanet:466729
disease,DOID:1432,,,expanded,added,MP:0002001,,biolink:PhenotypicFeature,,,,DOID:1432|Fyler:4866|HP:0000618|ICD10:H54|ICD10CM:H54|ICD9:369|MEDDRA:10005161|MEDDRA:10005169|MEDDRA:10005180|MEDGEN:99138|MESH:D001766|MONDO:0001941|MP:0002001|NCIT:C97109|SNOMEDCT:105597003|SNOMEDCT:65956007|SNOMEDCT_US_2025_09_01:193698004|UMLS:C0155020|UMLS:C0271215|UMLS:C0456909
disease,DOID:14766,,,expanded,added,MP:0000520,,biolink:PhenotypicFeature,,,,DOID:14766|Fyler:4503|GARD:9228|HP:0000104|MEDDRA:10038354|MEDDRA:10038356|MEDGEN:154237|MESH:C563261|MIM:191830|MONDO:0018470|MP:0000520|NCIT:C99041|OMIM.PS:191830|ORDO:93108|SNOMEDCT:204942005|UMLS:C0542519|http://id.who.int/icd/entity/683319223|orphanet:411709
disease,DOID:1657,,,expanded,added,MP:0010402,,biolink:PhenotypicFeature,,,,DOID:1657|Fyler:1300|GARD:7853|HP:0001629|ICD10:Q21.0|ICD10CM:Q21.0|ICD9:745.4|MEDDRA:10010671|MEDDRA:10012119|MEDDRA:10040100|MEDDRA:10047298|MEDDRA:10047300|MEDDRA:10047720|MEDDRA:10089779|MEDGEN:42366|MESH:D006345|MIM:614429|MIM:614431|MIM:614432|MONDO:0002070|MP:0010402|NCIT:C84506|OMIM.PS:614429|ORDO:1480|SNOMEDCT:253549006|SNOMEDCT:30288003|SNOMEDCT:768552007|SNOMEDCT_US_2025_09_01:156914003|UMLS:C0018818|http://id.who.int/icd/entity/668140715
disease,DOID:1712,,,expanded,added,MP:0006117,,biolink:PhenotypicFeature,,,,DOID:1712|Fyler:1411|GARD:5830|HP:0001650|ICD10:I06.0|ICD10:Q23.0|ICD9:395.0|ICD9:746.3|MEDDRA:10002906|MEDDRA:10002918|MEDDRA:10002919|MEDDRA:10010371|MEDDRA:10010636|MEDDRA:10039047|MEDDRA:10041974|MEDGEN:1621|MESH:D001024|MONDO:0042981|MP:0006117|NCIT:C197885|NCIT:C197952|NCIT:C50462|SNOMEDCT:60573004|SNOMEDCT:72011007|SNOMEDCT_US_2025_09_01:155282009|SNOMEDCT_US_2025_09_01:18546004|SNOMEDCT_US_2025_09_01:60573004|UMLS:C0003507|UMLS:C0152417|UMLS:C0155567|http://id.who.int/icd/entity/956813047
disease,DOID:1754,,,expanded,added,MP:0006122,,biolink:PhenotypicFeature,,,,DOID:1754|EFO:0007372|EPCC:06.02.92|Fyler:1511|HP:0001718|MEDDRA:10027719|MEDDRA:10027733|MEDGEN:44466|MESH:D008946|MONDO:0005852|MP:0006122|NCIT:C50654|SNOMEDCT:79619009|SNOMEDCT_US_2025_09_01:79619009|UMLS:C0026269|http://id.who.int/icd/entity/2115139779
disease,DOID:178,,,expanded,added,MP:0003279,,biolink:PhenotypicFeature,,,,DOID:178|EFO:0004264|Fyler:2399|HP:0002617|ICD10:I72.9|ICD10CM:I70-I79|ICD9:442.9|MEDDRA:10002329|MEDDRA:10002360|MEDDRA:10013282|MEDDRA:10047059|MEDDRA:10047062|MEDDRA:10047065|MEDDRA:10050209|MEDDRA:10054635|MEDDRA:10059245|MEDGEN:22621|MESH:D000783|MESH:D014652|MESH:D020758|MESH:D020760|MONDO:0005385|MP:0003279|NCIT:C26693|NCIT:C35117|SNOMEDCT:27550009|SNOMEDCT:371029002|SNOMEDCT:432119003|SNOMEDCT:85659009|SNOMEDCT_US_2025_09_01:27550009|SNOMEDCT_US_2025_09_01:371029002|SNOMEDCT_US_2025_09_01:432119003|UMLS:C0002940|UMLS:C0042373|UMLS:C0752127|UMLS:C0752130|UMLS:C4020848
disease,DOID:1929,,,expanded,added,MP:0010471,,biolink:PhenotypicFeature,,,,DOID:1929|Fyler:1430|GARD:743|HP:0004381|ICD10:Q25.3|ICD10CM:Q25.3|MEDDRA:10042598|MEDGEN:2001|MESH:C538461|MESH:D021921|MIM:185500|MONDO:0008504|MP:0010471|NCIT:C85176|OMIM:185500|SNOMEDCT:268185002|SNOMEDCT_US_2025_09_01:204436002|UMLS:C0003499|UMLS:C2936909|http://id.who.int/icd/entity/1066595728|orphanet:3193
